"ID","Abeja","especies","genero","Familia","DIT","Grado","Grado relativo","z_Grado"
"M_005","Bombus.fervidus_005","Bombus.fervidus","Bombus","Apidae",3.48,6,0.162162162162162,0
"M_005","Halictus.medionitens_005","Halictus.medionitens","Halictus","Halictidae",NA,5,0.135135135135135,-0.134098680606302
"M_005","Megachile.pugnata_005","Megachile.pugnata","Megachile","Megachilidae",NA,5,0.135135135135135,-0.134098680606302
"M_005","Bombus.flavifrons_005","Bombus.flavifrons","Bombus","Apidae",2.89,16,0.432432432432432,1.34098680606302
"M_005","Bombus.fulvida_005","Bombus.fulvida","Bombus","Apidae",NA,2,0.0540540540540541,-0.536394722425206
"M_005","Megachile.relativa_005","Megachile.relativa","Megachile","Megachilidae",2.68,4,0.108108108108108,-0.268197361212603
"M_005","Andrena.imitatrix_005","Andrena.imitatrix","Andrena","Andrenidae",4.49,1,0.027027027027027,-0.670493403031508
"M_005","Bombus.hunti_005","Bombus.hunti","Bombus","Apidae",5.13,30,0.810810810810811,3.21836833455124
"M_005","Osmia.pentstemonis_005","Osmia.pentstemonis","Osmia","Megachilidae",1.75,5,0.135135135135135,-0.134098680606302
"M_005","Osmia.phaceliae_005","Osmia.phaceliae","Osmia","Megachilidae",NA,5,0.135135135135135,-0.134098680606302
"M_005","Andrena.lewisi_005","Andrena.lewisi","Andrena","Andrenidae",NA,1,0.027027027027027,-0.670493403031508
"M_005","Osmia.propinqua_005","Osmia.propinqua","Osmia","Megachilidae",NA,5,0.135135135135135,-0.134098680606302
"M_005","Osmia.pusilla_005","Osmia.pusilla","Osmia","Megachilidae",1.58,1,0.027027027027027,-0.670493403031508
"M_005","Andrena.madronitens_005","Andrena.madronitens","Andrena","Andrenidae",NA,14,0.378378378378378,1.07278944485041
"M_005","Bombus.juxtus_005","Bombus.juxtus","Bombus","Apidae",NA,27,0.72972972972973,2.81607229273233
"M_005","Bombus.kirbyellus_005","Bombus.kirbyellus","Bombus","Apidae",NA,8,0.216216216216216,0.268197361212603
"M_005","Colletes.kincaidi_005","Colletes.kincaidi","Colletes","Colletidae",1.97,4,0.108108108108108,-0.268197361212603
"M_005","Bombus.morrisoni_005","Bombus.morrisoni","Bombus","Apidae",NA,12,0.324324324324324,0.804592083637809
"M_005","Bombus.nevadensis_005","Bombus.nevadensis","Bombus","Apidae",5.06,5,0.135135135135135,-0.134098680606302
"M_005","Bombus.occidentalis_005","Bombus.occidentalis","Bombus","Apidae",3.89,32,0.864864864864865,3.48656569576384
"M_005","Bombus.pennsylvanicus_005","Bombus.pennsylvanicus","Bombus","Apidae",6,1,0.027027027027027,-0.670493403031508
"M_005","Halictus.sp1_005","Halictus.sp1","Halictus","Halictidae",1.49,10,0.27027027027027,0.536394722425206
"M_005","Megachile.sp1_005","Megachile.sp1","Megachile","Megachilidae",3.2,2,0.0540540540540541,-0.536394722425206
"M_005","Andrena.placida_005","Andrena.placida","Andrena","Andrenidae",NA,1,0.027027027027027,-0.670493403031508
"M_005","Andrena.prunorum_005","Andrena.prunorum","Andrena","Andrenidae",NA,4,0.108108108108108,-0.268197361212603
"M_005","Osmia.rohweri_005","Osmia.rohweri","Osmia","Megachilidae",NA,1,0.027027027027027,-0.670493403031508
"M_005","Colletes.oromontis_005","Colletes.oromontis","Colletes","Colletidae",NA,10,0.27027027027027,0.536394722425206
"M_005","Osmia.sp1_005","Osmia.sp1","Osmia","Megachilidae",3.1,3,0.0810810810810811,-0.402296041818905
"M_005","Andrena.sp1_005","Andrena.sp1","Andrena","Andrenidae",2.99,3,0.0810810810810811,-0.402296041818905
