EM_ID,UCMC,Date,Year,Month,Ordinal day,Site,Plot,Plant,Plant species name,Plant common name,Plant family,Insect Order,Insect family,Insect species name,Insect notes,Notes,PA
EM00939,UCMC 0234689,7/30/15,2015,7,211,Elk M.,1,SEDLAN,Sedum lanceolatum,Yellow Stonecrop,Crassulaceae,Hymenoptera,Halictidae,Lasioglossum (Dialictus) aff. knereri,female,,1
EM01858,,6/29/18,2018,6,180,Elk M.,4,SEDLAN,Sedum lanceolatum,Yellow Stonecrop,Crassulaceae,Hymenoptera,Halictidae,Lasioglossum (Dialictus) aff. knereri,female,,1
EM02142,,8/20/19,2019,8,232,Elk M.,4,SYMPOR,Symphyotrichum porteri,Smooth White Aster,Asteraceae,Hymenoptera,Halictidae,Lasioglossum (Dialictus) aff. knereri,det. JR,,1
EM01845,,6/29/18,2018,6,180,Elk M.,3,CAMROT,Campanula rotundifolia,Harebell,Campanulaceae,Hymenoptera,Megachilidae,Megachile melanophaea,female,,1
EM01888,,7/6/18,2018,7,187,Elk M.,4,CAMROT,Campanula rotundifolia,Harebell,Campanulaceae,Hymenoptera,Halictidae,Dufourea maura,female,,1
EM01883,,7/6/18,2018,7,187,Elk M.,6,CAMROT,Campanula rotundifolia,Harebell,Campanulaceae,Hymenoptera,Megachilidae,Megachile melanophaea,female,,1
EM01876,,7/6/18,2018,7,187,Elk M.,4,CAMROT,Campanula rotundifolia,Harebell,Campanulaceae,Hymenoptera,Megachilidae,Coelioxys sodalis,kleptoparasitic on megachille,,1
EM01884,,7/6/18,2018,7,187,Elk M.,3,CAMROT,Campanula rotundifolia,Harebell,Campanulaceae,Hymenoptera,Apidae,Bombus rufocinctus,,,1
,,7/11/18,2018,7,192,Elk M.,1,CAMROT,Campanula rotundifolia,Harebell,Campanulaceae,Hymenoptera,Megachilidae,Megachile melanophaea,female,,1
EM01906,,7/11/18,2018,7,192,Elk M.,3,CAMROT,Campanula rotundifolia,Harebell,Campanulaceae,Hymenoptera,Megachilidae,Megachile melanophaea,female,,1
