"","acal.sp2","acal.sp4","acr.lob","allo.bre","allo.sp1","amm.sp1","ana.ine","ant.fri","ant.oed","ant.rub","ant.vig","antho.sp1","api.mel","arh.bif","ari.sp1","ase.mon","asi.sp1","asi.sp2","aud.sp","aug.sp","bab.elo","bib.sp1","bom.opi","bombil10","bombil11","bombil12","bombil14","bombil15","bombil16","bombil3","bombil5","bombil7","bombil8","bombil9","cae.sp1","cal.sp1","cam.mus","cam.pun","cen.bre","cen.lya","cen.var","cha.sp1","coc.mac","coc.sp1","coc.sp2","coe.chi","coe.jor","coe.sp6","col.ara","col.bic","col.bre","col.cog","col.lyc","com.ful","cop.ari","cop.sp2","cop.sp3","cos.chi","cra.sp1","dia.bar","dia.pat","dia.sp1","dih.sp1","emp.sp1","emp.sp2","epi.sp","eum.sp","exo.sp1","for.sp1","hir.sp1","hypa.sp1","ise.vac","ise.vip","lei.abd","lei.fri","lep.nig","lepid11","lepid12","lepid3","lepid4","lip.ino","lip.nig","lon.rob","lon.sp1","meg.A","meg.C","meg.cte","meg.pse2","mel.coc","mel.sp","mes.jen","muscid2","neu.sp1","nit.sp1","pir.com","pla.sp1","pol.cav","pompil2","psa.phi","psa.ruf","pse.sp","rub.nas","sar.sp1","sci.sp1","sph.sp2","sphecid1","str.eur","sva.bau","sva.bom","sva.zeb","syr.sp1","syr.sp2","syr.sp3","syr.sp5","syr.sp6","tac.sp1","tac.sp10","tac.sp15","tac.sp17","tac.sp5","tac.sp8","tachy.sp","tat.aut","tep.sp1","tep.sp2","thy.sp1","tox.sp1","tri.lat","tri.sp2","vill.sp1","wil.cha","xyl.aug","xyl.ord","xyl.spl","zet.sp1"
"lyc.gil",0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,1,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"men.dec",0,0,0,0,0,92,1,0,1,0,0,0,184,0,0,1,0,0,2,70,0,1,1,0,0,0,0,0,0,0,0,5,25,0,4,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,98,3,0,11,0,0,2,1,104,0,0,0,0,0,0,1,0,4,0,0,0,0,9,0,0,0,0,0,1,0,10,11,0,0,0,4,48,0,0,0,57,0,0,0,12,3,5,0,0,0,4,0,37,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,1,0,1
"mon.aph",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,37,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,758,5,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,2,29,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"opu.sul",0,1,0,0,0,1,0,0,0,0,0,0,2,187,0,1,0,0,0,12,3,0,64,4,0,0,0,0,0,0,0,0,0,0,0,0,30,2,33,16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,2,1,39,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,3,1,0,0,8,0,0,0,2,0,0,0,0,1,5,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,35,0,0,0,0,7,1,0
"oxy.ova",0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"pet.axi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"phi.gil",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"phr.pac",0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pro.fle",0,0,0,0,10,78,0,0,0,0,0,0,2477,0,0,0,0,0,15,205,34,0,50,1,7,0,0,0,0,0,0,0,38,15,3,0,34,17,4,0,0,20,0,0,0,0,0,0,0,10,11,42,2,7,1565,192,0,165,0,0,0,0,12,0,0,0,0,203,1,4,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,81,0,80,0,0,2,0,0,0,1,0,2,0,0,0,0,0,0,0,66,30,75,0,12,0,25,0,1,0,0,203,22,1,0,0,0,0,0,0,1,5,0,0,0,32,0,0,16,0,20
"rut.cha",0,0,0,0,0,0,0,0,0,0,0,0,204,0,0,0,0,0,0,19,0,2,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,1,0,0,0,0,0,0,13,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4
"sal.gil",0,0,0,0,0,0,0,1,0,0,17,0,0,0,0,0,0,0,1,1,0,0,60,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,24,0,0,45,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,7,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,69,21,0
"sch.fas",0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,21,6,1,0,4,2,0,0,0,0,12,0,0,0,0,0,0,30,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,34,8,0,0,0,0,0,0,0,0,0,0,0,37,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
"sen.aph",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,102,0,0,8,0,0,0,0,0,0,1,0,0,0,0,2,0,43,34,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,10,0,0,0,1,10,0,0,0,0,0,0,58,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,13
"sen.pin",0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,1,0,3,0,0,0,0,0,1,0,0,8,0,6,3,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,265,9,0,28,0,0,3,0,3,0,0,0,0,1,0,3,0,3,0,0,0,1,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,29,0,0,0,1,0,0,0,1,0,0,0,18,0,0,0,3,0,0,0,0,2,13,3,0,0,4,0,7,0,0,0,0,0,0,6,0,0,0,0,1
"spa.jun",0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,1,1,0,10,10,0,0,64,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,12,0,0,0,0,0,3,0,0,0,0,0,0,0,0,10,161,17,0,18,0,0,0,1,1,0,0,0,0,2,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,113,2,3
"sph.min",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,17,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
"thy.pen",0,0,0,0,0,11,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,4,0,0,0,0,14,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,9,17,0,0,2,0,0,0,0,30,0,0,0,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"tri.can",0,0,0,0,0,0,0,0,1,0,0,0,4,7,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,2,0,0,0,0,0,0,1,25,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
"ver.pol",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"zuc.pun",0,0,0,0,25,25,1,1,0,1,0,3,588,0,0,0,0,0,8,121,2,0,109,0,0,0,0,0,0,0,0,0,9,5,1,1,1,5,375,5,0,0,0,0,0,0,7,0,2,0,5,78,8,0,167,4,0,12,0,0,5,0,24,0,0,1,0,0,0,2,1,1,0,17,0,0,1,0,0,1,0,0,7,0,51,8,13,0,0,0,30,0,0,0,2,0,2,0,2,0,6,0,0,0,0,3,28,0,0,22,1,0,0,0,0,0,14,0,0,0,0,0,0,0,0,1,0,4,0,0,19,0,314,13,32
