"ID","plantas"
"M_005","Rosa.acicularis"
"M_005","Rubus.deliciosus"
"M_005","Rubus.strigosus"
"M_005","Rydbergia.grandilfora"
"M_005","Sambucus.racemosa"
"M_005","Scutellaria.resinosa"
"M_005","Sedum.stenopetalum"
"M_005","Sieversia.ciliata"
"M_005","Sieversia.turbinata"
"M_005","Silene.acaulis"
"M_005","Silene.halli"
"M_005","Solidago.missouriensis"
"M_005","Stanleya.pinnatifida"
"M_005","Taraxacum.officinale"
"M_005","Thalictrum.fendleri"
"M_005","Thermopsis.montana"
"M_005","Tradescantia.virginiana"
"M_005","Trifolium.dasyphyllum"
"M_005","Valeriana.edulis"
"M_006","Achillea.millefolium"
"M_006","Centaurea.nigra"
"M_006","Cirsium.arvense"
"M_006","Hypochoeris.radicata"
"M_006","Lathyrus.pratensis"
"M_006","Leucanthemum.vulgare"
"M_006","Lotus.corniculatus"
"M_006","Lychnis.flos-cuculi"
"M_006","Plantago.lanceolata"
"M_006","Prunella.vulgaris"
"M_006","Ranunculus.acris"
"M_006","Taraxacum.officinale"
"M_006","Trifolium.dubium"
"M_006","Trifolium.pratense"
"M_006","Trifolium.repens"
"M_006","Vicia.cracca"
"M_006","Vicia.sativa"
"M_007","Centaurea.nigra"
"M_007","Cerastium.fontanum"
"M_007","Cirsium.arvense"
"M_007","Cirsium.palustre"
"M_007","Filipendula.ulmaria"
"M_007","Galium.verum"
"M_007","Hypochoeris.radicata"
"M_007","Lathyrus.pratensis"
"M_007","Leucanthemum.vulgare"
"M_007","Lotus.corniculatus"
"M_007","Orchis.morio"
"M_007","Primula.veris"
"M_007","Ranunculus.acris"
"M_007","Taraxacum.officinale"
"M_007","Trifolium.dubium"
"M_007","Trifolium.repens"
"M_008","Adenocarpus.viscosus"
"M_008","Argyranthemum.teneriffae"
"M_008","Echium.wildpretii"
"M_008","Erysimum.scoparium"
"M_008","Mentha.longifolia"
"M_008","Nepeta.teydea"
"M_008","Pimpinella.cumbrae"
"M_008","Pterocephalus.lasiospermus"
"M_008","Scrophularia.glabrata"
"M_008","Spartocytisus.supranubius"
"M_008","Tolpis.webbii"
"M_009","Antennaria.alpina"
"M_009","Arabis.alpina"
"M_009","Astragalus.alpinus"
"M_009","Bartsia.alpina"
"M_009","Cassiope.hypnoides"
"M_009","Cassiope.tetragona"
"M_009","Cerastium.alpinum"
"M_009","Diapensia.lapponica"
"M_009","Dryas.octopetala"
"M_009","Parnassia.palustris"
"M_009","Pinguicula.alpina"
"M_009","Polygonum.viviparum"
"M_009","Potentilla.crantzii"
"M_009","Rhodiola.rosea"
"M_009","Rhododendron.lapponicum"
"M_009","Salix.lanata"
"M_009","Salix.polaris"
"M_009","Salix.reticulata"
"M_009","Saxifraga.aizoides"
"M_009","Saxifraga.oppositifolia"
"M_009","Silene.acaulis"
"M_009","Taraxacum.officinale"
"M_009","Trollius.europaeus"
"M_009","Viola.biflora"
"M_010","Arenaria.pseudofrigida"
"M_010","Armeria.scabra"
"M_010","Arnica.angustifolia"
"M_010","Cassiope.tetragona"
"M_010","Cerastium.arcticum"
"M_010","Cochlearia.groenlandica"
"M_010","Draba.arctica"
"M_010","Draba.lactea"
"M_010","Dryas.octopetala"
"M_010","Epilobium.latifolium"
"M_010","Erigeron.compositus"
"M_010","Lesquerella.arctica"
"M_010","Melandrium.triflorum"
"M_010","Papaver.radicatum"
"M_010","Pedicularis.flammea"
"M_010","Pedicularis.hirsuta"
"M_010","Polygonum.viviparum"
"M_010","Potentilla.hyparctica"
"M_010","Potentilla.rubricaulis"
"M_010","Ranunculus.sulphureus"
"M_010","Rhododendron.lapponicum"
"M_010","Salix.arctica"
"M_010","Saxifraga.caespitosa"
"M_010","Saxifraga.cernua"
"M_010","Saxifraga.hirculus"
"M_010","Saxifraga.nivalis"
"M_010","Saxifraga.oppositifolia"
"M_010","Silene.acaulis"
"M_010","Stellaria.longipes"
"M_010","Taraxacum.phymatocarpum"
"M_010","Vaccinium.uliginosum"
"M_012","Adenocarpus.foliosus"
"M_012","Ageretina.adenophora"
"M_012","Aichryson.laxum"
"M_012","Anacyclus.radiatus"
"M_012","Andryala.pinnatifida"
"M_012","Appolonias.barbujana"
"M_012","Argyranthemum.broussonetti"
"M_012","Carduus.tenuiflorus"
"M_012","Cedronella.canariensis"
"M_012","Cistus.monspeliensis"
"M_012","Echium.plantagineum"
"M_012","Erica.arborea"
"M_012","Galactites.tomentosa"
"M_012","Geranium.canariense"
"M_012","Geranium.robertianum"
"M_012","Hypericum.grandifolium"
"M_012","Ilex.canarienis"
"M_012","Laurus.azorica"
"M_012","Leontodon.taraxacoides"
"M_012","Picconia.excelsa"
"M_012","Psoralia.bituminosa"
"M_012","Ranunculus.cortusaefolius"
"M_012","Raphanus.raphanistrum"
"M_012","Rhamnus.glandulosa"
"M_012","Senecio.steetzii"
"M_012","Silene.gallica"
"M_012","Sonchus.cf..ortunoi"
"M_012","Sonchus.tenerrimus"
"M_012","Viola.riviniana"
"M_013","Asclepias.cucullata"
"M_013","Asclepias.woodii"
"M_013","Aspidonepsis.diploglossa"
"M_013","Miraglossum.pilosum"
"M_013","Miraglossum.verticillare"
"M_013","Pachycarpus.natalensis"
"M_013","Sisyranthus.trichostomus"
"M_013","Xysmalobium.gerrardii"
"M_013","Xysmalobium.involucratum"
"M_014","Arnica.sp1.M.PL.014"
"M_014","Braya.sp1.M.PL.014"
"M_014","Cassiope.tetragona"
"M_014","Cerastium.alpinum"
"M_014","Cerastium.arcticum"
"M_014","Draba.bellii"
"M_014","Draba.cinerea"
"M_014","Draba.oblongata"
"M_014","Dryas.sp1.M.PL.014"
"M_014","Epilobium.sp1.M.PL.014"
"M_014","Erigeron.sp1.M.PL.014"
"M_014","Erysimum.sp1.M.PL.014"
"M_014","Lesquerella.arctica"
"M_014","Lychnis.triflora"
"M_014","Papaver.sp1.M.PL.014"
"M_014","Pedicularis.capitata"
"M_014","Pedicularis.sp1.M.PL.014"
"M_014","Polygonum.viviparum"
"M_014","Potentilla.sp1.M.PL.014"
"M_014","Salix.sp1.M.PL.014"
"M_014","Saxifraga.cernua"
"M_014","Saxifraga.flagellaris"
"M_014","Saxifraga.hirculus"
"M_014","Saxifraga.oppositifolia"
"M_014","Saxifraga.sp1.M.PL.014"
"M_014","Saxifraga.tricuspidata"
"M_014","Silene.sp1.M.PL.014"
"M_014","Stellaria.sp1.M.PL.014"
"M_014","Taraxacum.sp1.M.PL.014"
"M_015","Acanthus.spinosus"
"M_015","Alcea.pallida"
"M_015","Alkanna.tinctoria"
"M_015","Allium.neapolitanum"
"M_015","Allium.subhirsutum"
"M_015","Anagallis.arvensis"
"M_015","Anchusa.undulata"
"M_015","Anchusa.variegata"
"M_015","Anemone.coronaria"
"M_015","Anemone.pavonina"
"M_015","Anthyllis.hermanniae"
"M_015","Arisarum.vulgare"
"M_015","Asparagus.acutifolius"
"M_015","Asphodelus.aestivus"
"M_015","Astragalus.monspessulanus"
"M_015","Ballota.acetabulosa"
"M_015","Bellardia.trixago"
"M_015","Bellis.annua"
"M_015","Biscutella.didyma"
