"ID","sp.armonizado","Grado","Grado_max","Grado_relativo","Z_Grado"
"M_004","Chalcosyrphus memorum",1,8,0.125,-0.494726086933375
"M_004","Chalcosyrphus nigra",1,8,0.125,-0.494726086933375
"M_004","Cheilosia pallipes",1,8,0.125,-0.494726086933375
"M_004","Cheilosia sialia",1,8,0.125,-0.494726086933375
"M_004","Cheilosia slossonae",1,8,0.125,-0.494726086933375
"M_004","Cheilosia tristis",1,8,0.125,-0.494726086933375
"M_004","Crabro sp1 M PL 004",2,8,0.25,0.281613311023613
"M_004","Dalopius sp1 M PL 004",1,8,0.125,-0.494726086933375
"M_004","Dialictus cressoni",4,8,0.5,1.83429210693759
"M_004","Dialictus imitatus",2,8,0.25,0.281613311023613
"M_004","Dialictus sp1 M PL 004",8,8,1,4.93964969876554
"M_004","Eclimus harrisi",2,8,0.25,0.281613311023613
"M_004","Ephemerella sp1 M PL 004",1,8,0.125,-0.494726086933375
"M_004","Eremomyioides setosa",1,8,0.125,-0.494726086933375
"M_004","Eudasyphora cyanicolor",1,8,0.125,-0.494726086933375
"M_004","Eupyses vestris",1,8,0.125,-0.494726086933375
"M_004","Eusphalerum convexum",2,8,0.25,0.281613311023613
"M_004","Eusphalerum phothos",3,8,0.375,1.0579527089806
"M_004","Eusphalerum sp1 M PL 004",5,8,0.625,2.61063150489458
"M_004","Evodinus monticola",1,8,0.125,-0.494726086933375
"M_004","Evylaeus divergens",2,8,0.25,0.281613311023613
"M_004","Evylaeus quebecensis",4,8,0.5,1.83429210693759
"M_004","Fannia ungulata",1,8,0.125,-0.494726086933375
"M_004","Halictus rubicundus",2,8,0.25,0.281613311023613
"M_004","Hoplitis producta",1,8,0.125,-0.494726086933375
"M_004","Hylaeus basalis",1,8,0.125,-0.494726086933375
"M_004","Hylaeus ellipticus",1,8,0.125,-0.494726086933375
"M_004","Hylaeus stevensi",1,8,0.125,-0.494726086933375
"M_004","Judolia montivagans",1,8,0.125,-0.494726086933375
"M_004","Lygus refidorsus",1,8,0.125,-0.494726086933375
"M_004","Mallota posticata",2,8,0.25,0.281613311023613
"M_004","Melagyna lasiophthalma",2,8,0.25,0.281613311023613
"M_004","Melanostoma sp1 M PL 004",1,8,0.125,-0.494726086933375
"M_004","Nomada cuneata",1,8,0.125,-0.494726086933375
"M_004","Nomada sayi",1,8,0.125,-0.494726086933375
"M_004","Orsodacne atra",1,8,0.125,-0.494726086933375
"M_004","Orthoneura pulchella",2,8,0.25,0.281613311023613
"M_004","Osmia lignaria",1,8,0.125,-0.494726086933375
"M_004","Osmia proxima",2,8,0.25,0.281613311023613
"M_004","Osmia pumila",1,8,0.125,-0.494726086933375
"M_004","Paramyia nitens",2,8,0.25,0.281613311023613
"M_004","Parasyrphus relictus",3,8,0.375,1.0579527089806
"M_004","Passaloecus sp1 M PL 004",1,8,0.125,-0.494726086933375
"M_004","Pegohylemyia fugax",1,8,0.125,-0.494726086933375
"M_004","Phalaenophana pyramusalis",1,8,0.125,-0.494726086933375
"M_004","Phaonia serva",2,8,0.25,0.281613311023613
"M_004","Pidonia ruficolis",2,8,0.25,0.281613311023613
"M_004","Pieris napi",1,8,0.125,-0.494726086933375
"M_004","Poanes hobomok",1,8,0.125,-0.494726086933375
"M_004","Psithyrus sp1 M PL 004",1,8,0.125,-0.494726086933375
"M_004","Pyrophaena rosarum",1,8,0.125,-0.494726086933375
"M_004","Rhopalum sp1 M PL 004",1,8,0.125,-0.494726086933375
"M_004","Sarcophaga nearctica",2,8,0.25,0.281613311023613
"M_004","Seladonia confusa",1,8,0.125,-0.494726086933375
"M_004","Sphaerophoria bifurcata",5,8,0.625,2.61063150489458
"M_004","Sphaerophoria longipilosa",1,8,0.125,-0.494726086933375
"M_004","Sphaerophoria sp1 M PL 004",3,8,0.375,1.0579527089806
"M_004","Sphecodes sp1 M PL 004",1,8,0.125,-0.494726086933375
"M_004","Syritta pipiens",1,8,0.125,-0.494726086933375
"M_004","Syritta rectus",1,8,0.125,-0.494726086933375
"M_004","Temnostoma alternans",1,8,0.125,-0.494726086933375
"M_004","Temnostoma balyras",1,8,0.125,-0.494726086933375
"M_004","Temnostoma barberi",1,8,0.125,-0.494726086933375
"M_004","Thamnotettix confinis",1,8,0.125,-0.494726086933375
"M_004","Trachysida aspera",1,8,0.125,-0.494726086933375
"M_004","Tropidia quadrata",2,8,0.25,0.281613311023613
"M_004","Tychius stephensi",1,8,0.125,-0.494726086933375
"M_004","Vespula arenaria",1,8,0.125,-0.494726086933375
"M_004","Xylota bigelowi",1,8,0.125,-0.494726086933375
"M_004","Xylota hinei",2,8,0.25,0.281613311023613
"M_004","Xylota sp1 M PL 004",1,8,0.125,-0.494726086933375
"M_004","Zeraea americana",2,8,0.25,0.281613311023613
"M_005","Acmaeops longicornis",5,37,0.135135135135135,0.334969501375053
"M_005","Acmaeops pratensis",3,37,0.0810810810810811,-0.0726261308291045
"M_005","Agapostemon coloradinus",2,37,0.0540540540540541,-0.276423946931183
"M_005","Agapostemon sp1 M PL 005",2,37,0.0540540540540541,-0.276423946931183
"M_005","Agapostemon splendens",4,37,0.108108108108108,0.131171685272974
"M_005","Agathis vulgaris",1,37,0.027027027027027,-0.480221763033262
"M_005","Ancistrocerus sp1 M PL 005",5,37,0.135135135135135,0.334969501375053
"M_005","Andrena apacheorum",2,37,0.0540540540540541,-0.276423946931183
"M_005","Andrena barbilabris",1,37,0.027027027027027,-0.480221763033262
"M_005","Andrena braccata",1,37,0.027027027027027,-0.480221763033262
"M_005","Andrena canadensis",2,37,0.0540540540540541,-0.276423946931183
"M_005","Andrena crataegi",9,37,0.243243243243243,1.15016076578337
"M_005","Andrena edwiniae",2,37,0.0540540540540541,-0.276423946931183
"M_005","Andrena gardineri",1,37,0.027027027027027,-0.480221763033262
"M_005","Andrena imitatrix",1,37,0.027027027027027,-0.480221763033262
"M_005","Andrena lewisi",1,37,0.027027027027027,-0.480221763033262
"M_005","Andrena madronitens",14,37,0.378378378378378,2.16914984629376
"M_005","Andrena prunorum",4,37,0.108108108108108,0.131171685272974
"M_005","Andrena sp1 M PL 005",3,37,0.0810810810810811,-0.0726261308291045
"M_005","Andrena vicina",10,37,0.27027027027027,1.35395858188545
"M_005","Andrena washingtoni",2,37,0.0540540540540541,-0.276423946931183
"M_005","Andronicus sp1 M PL 005",4,37,0.108108108108108,0.131171685272974
"M_005","Anthidium tenuiflorae",1,37,0.027027027027027,-0.480221763033262
"M_005","Anthomyia sp1 M PL 005",1,37,0.027027027027027,-0.480221763033262
"M_005","Anthophora bomboides",1,37,0.027027027027027,-0.480221763033262
"M_005","Anthophora neomexicana",1,37,0.027027027027027,-0.480221763033262
"M_005","Anthophora occidentalis",1,37,0.027027027027027,-0.480221763033262
"M_005","Anthophora quadricolor",3,37,0.0810810810810811,-0.0726261308291045
"M_005","Anthophora simillima",11,37,0.297297297297297,1.55775639798753
"M_005","Anthrax alternata",1,37,0.027027027027027,-0.480221763033262
"M_005","Anthrax fulviana",1,37,0.027027027027027,-0.480221763033262
"M_005","Anthrax halycon",1,37,0.027027027027027,-0.480221763033262
"M_005","Anthrax hypomelas",2,37,0.0540540540540541,-0.276423946931183
"M_005","Anthrax lateralis",1,37,0.027027027027027,-0.480221763033262
"M_005","Anthrax nigra",1,37,0.027027027027027,-0.480221763033262
"M_005","Anthrax sinuosa",2,37,0.0540540540540541,-0.276423946931183
"M_005","Anthrax tegminipennis",1,37,0.027027027027027,-0.480221763033262
"M_005","Apanteles sp1 M PL 005",1,37,0.027027027027027,-0.480221763033262
"M_005","Apis mellifera",22,37,0.594594594594595,3.79953237511039
"M_005","Archytas sp1 M PL 005",1,37,0.027027027027027,-0.480221763033262
"M_005","Arctophila flagrans",1,37,0.027027027027027,-0.480221763033262
"M_005","Argynnis atlantis",4,37,0.108108108108108,0.131171685272974
"M_005","Argynnis eurynome",4,37,0.108108108108108,0.131171685272974
"M_005","Atrytone taxiles",4,37,0.108108108108108,0.131171685272974
"M_005","Basilarchia weidemeyeri",1,37,0.027027027027027,-0.480221763033262
"M_005","Bembix spinolae",1,37,0.027027027027027,-0.480221763033262
"M_005","Bombomelecta fulvida",3,37,0.0810810810810811,-0.0726261308291045
"M_005","Bombus americanorum",3,37,0.0810810810810811,-0.0726261308291045
"M_005","Bombus appositus",15,37,0.405405405405405,2.37294766239584
"M_005","Bombus bifarius",21,37,0.567567567567568,3.59573455900831
"M_005","Bombus centralis",5,37,0.135135135135135,0.334969501375053
"M_005","Bombus dorsalis",1,37,0.027027027027027,-0.480221763033262
"M_005","Bombus edwardsi",37,37,1,6.85649961664157
"M_005","Bombus fervidus",6,37,0.162162162162162,0.538767317477132
"M_005","Bombus flavifrons",16,37,0.432432432432432,2.57674547849792
