"especie","ID","genero","Familia","DIT","umbral","size","es.umbral"
"Bombus.hunti","M_005","Bombus","Apidae",5.13,5,"Grande",TRUE
"Bombus.nevadensis","M_005","Bombus","Apidae",5.06,5,"Grande",TRUE
"Bombus.occidentalis","M_005","Bombus","Apidae",3.89,5,"Pequena",TRUE
"Bombus.pennsylvanicus","M_005","Bombus","Apidae",6,5,"Grande",TRUE
"Colletes.kincaidi","M_005","Colletes","Colletidae",1.97,5,"Pequena",TRUE
"Megachile.gemula.albula","M_005","Megachile","Megachilidae",3.62,5,"Pequena",TRUE
"Megachile.pugnata","M_005","Megachile","Megachilidae",3.1,5,"Pequena",TRUE
"Megachile.relativa","M_005","Megachile","Megachilidae",2.68,5,"Pequena",TRUE
"Megachile.texana","M_005","Megachile","Megachilidae",3.65,5,"Pequena",TRUE
"Osmia.bruneri","M_005","Osmia","Megachilidae",2.1,5,"Pequena",TRUE
"Osmia.nigrifrons","M_005","Osmia","Megachilidae",2.43,5,"Pequena",TRUE
"Osmia.pentstemonis","M_005","Osmia","Megachilidae",1.75,5,"Pequena",TRUE
"Osmia.pusilla","M_005","Osmia","Megachilidae",1.58,5,"Pequena",TRUE
"Agapostemon.splendens","M_005","Agapostemon","Halictidae",2.38,6,"Pequena",FALSE
"Andrena.crataegi","M_005","Andrena","Andrenidae",1.81,6,"Pequena",FALSE
"Andrena.imitatrix","M_005","Andrena","Andrenidae",4.49,6,"Pequena",FALSE
"Andrena.vicina","M_005","Andrena","Andrenidae",2.54,6,"Pequena",FALSE
"Apis.mellifera","M_005","Apis","Apidae",2.9,6,"Pequena",FALSE
"Bombus.bifarius","M_005","Bombus","Apidae",2.89,6,"Pequena",FALSE
"Bombus.centralis","M_005","Bombus","Apidae",3.06,6,"Pequena",FALSE
"Bombus.fervidus","M_005","Bombus","Apidae",3.48,6,"Pequena",FALSE
"Bombus.flavifrons","M_005","Bombus","Apidae",2.89,6,"Pequena",FALSE
"Bombus.hunti","M_005","Bombus","Apidae",5.13,6,"Pequena",FALSE
"Bombus.nevadensis","M_005","Bombus","Apidae",5.06,6,"Pequena",FALSE
"Bombus.occidentalis","M_005","Bombus","Apidae",3.89,6,"Pequena",FALSE
"Bombus.pennsylvanicus","M_005","Bombus","Apidae",6,6,"Pequena",FALSE
"Colletes.kincaidi","M_005","Colletes","Colletidae",1.97,6,"Pequena",FALSE
"Megachile.gemula.albula","M_005","Megachile","Megachilidae",3.62,6,"Pequena",FALSE
"Megachile.pugnata","M_005","Megachile","Megachilidae",3.1,6,"Pequena",FALSE
"Megachile.relativa","M_005","Megachile","Megachilidae",2.68,6,"Pequena",FALSE
"Megachile.texana","M_005","Megachile","Megachilidae",3.65,6,"Pequena",FALSE
"Osmia.bruneri","M_005","Osmia","Megachilidae",2.1,6,"Pequena",FALSE
"Osmia.nigrifrons","M_005","Osmia","Megachilidae",2.43,6,"Pequena",FALSE
"Osmia.pentstemonis","M_005","Osmia","Megachilidae",1.75,6,"Pequena",FALSE
"Osmia.pusilla","M_005","Osmia","Megachilidae",1.58,6,"Pequena",FALSE
"Agapostemon.splendens","M_005","Agapostemon","Halictidae",2.38,7,"Pequena",FALSE
"Andrena.crataegi","M_005","Andrena","Andrenidae",1.81,7,"Pequena",FALSE
"Andrena.imitatrix","M_005","Andrena","Andrenidae",4.49,7,"Pequena",FALSE
"Andrena.vicina","M_005","Andrena","Andrenidae",2.54,7,"Pequena",FALSE
"Apis.mellifera","M_005","Apis","Apidae",2.9,7,"Pequena",FALSE
"Bombus.bifarius","M_005","Bombus","Apidae",2.89,7,"Pequena",FALSE
"Bombus.centralis","M_005","Bombus","Apidae",3.06,7,"Pequena",FALSE
"Bombus.fervidus","M_005","Bombus","Apidae",3.48,7,"Pequena",FALSE
"Bombus.flavifrons","M_005","Bombus","Apidae",2.89,7,"Pequena",FALSE
"Bombus.hunti","M_005","Bombus","Apidae",5.13,7,"Pequena",FALSE
"Bombus.nevadensis","M_005","Bombus","Apidae",5.06,7,"Pequena",FALSE
"Bombus.occidentalis","M_005","Bombus","Apidae",3.89,7,"Pequena",FALSE
"Bombus.pennsylvanicus","M_005","Bombus","Apidae",6,7,"Pequena",FALSE
"Colletes.kincaidi","M_005","Colletes","Colletidae",1.97,7,"Pequena",FALSE
"Megachile.gemula.albula","M_005","Megachile","Megachilidae",3.62,7,"Pequena",FALSE
"Megachile.pugnata","M_005","Megachile","Megachilidae",3.1,7,"Pequena",FALSE
"Megachile.relativa","M_005","Megachile","Megachilidae",2.68,7,"Pequena",FALSE
"Megachile.texana","M_005","Megachile","Megachilidae",3.65,7,"Pequena",FALSE
"Osmia.bruneri","M_005","Osmia","Megachilidae",2.1,7,"Pequena",FALSE
"Osmia.nigrifrons","M_005","Osmia","Megachilidae",2.43,7,"Pequena",FALSE
"Osmia.pentstemonis","M_005","Osmia","Megachilidae",1.75,7,"Pequena",FALSE
"Osmia.pusilla","M_005","Osmia","Megachilidae",1.58,7,"Pequena",FALSE
"Agapostemon.splendens","M_005","Agapostemon","Halictidae",2.38,8,"Pequena",FALSE
"Andrena.crataegi","M_005","Andrena","Andrenidae",1.81,8,"Pequena",FALSE
"Andrena.imitatrix","M_005","Andrena","Andrenidae",4.49,8,"Pequena",FALSE
"Andrena.vicina","M_005","Andrena","Andrenidae",2.54,8,"Pequena",FALSE
"Apis.mellifera","M_005","Apis","Apidae",2.9,8,"Pequena",FALSE
"Bombus.bifarius","M_005","Bombus","Apidae",2.89,8,"Pequena",FALSE
"Bombus.centralis","M_005","Bombus","Apidae",3.06,8,"Pequena",FALSE
"Bombus.fervidus","M_005","Bombus","Apidae",3.48,8,"Pequena",FALSE
"Bombus.flavifrons","M_005","Bombus","Apidae",2.89,8,"Pequena",FALSE
"Bombus.hunti","M_005","Bombus","Apidae",5.13,8,"Pequena",FALSE
"Bombus.nevadensis","M_005","Bombus","Apidae",5.06,8,"Pequena",FALSE
"Bombus.occidentalis","M_005","Bombus","Apidae",3.89,8,"Pequena",FALSE
"Bombus.pennsylvanicus","M_005","Bombus","Apidae",6,8,"Pequena",FALSE
"Colletes.kincaidi","M_005","Colletes","Colletidae",1.97,8,"Pequena",FALSE
"Megachile.gemula.albula","M_005","Megachile","Megachilidae",3.62,8,"Pequena",FALSE
"Megachile.pugnata","M_005","Megachile","Megachilidae",3.1,8,"Pequena",FALSE
"Megachile.relativa","M_005","Megachile","Megachilidae",2.68,8,"Pequena",FALSE
"Megachile.texana","M_005","Megachile","Megachilidae",3.65,8,"Pequena",FALSE
"Osmia.bruneri","M_005","Osmia","Megachilidae",2.1,8,"Pequena",FALSE
"Osmia.nigrifrons","M_005","Osmia","Megachilidae",2.43,8,"Pequena",FALSE
"Osmia.pentstemonis","M_005","Osmia","Megachilidae",1.75,8,"Pequena",FALSE
"Osmia.pusilla","M_005","Osmia","Megachilidae",1.58,8,"Pequena",FALSE
"Agapostemon.splendens","M_005","Agapostemon","Halictidae",2.38,9,"Pequena",FALSE
"Andrena.crataegi","M_005","Andrena","Andrenidae",1.81,9,"Pequena",FALSE
"Andrena.imitatrix","M_005","Andrena","Andrenidae",4.49,9,"Pequena",FALSE
"Andrena.vicina","M_005","Andrena","Andrenidae",2.54,9,"Pequena",FALSE
"Apis.mellifera","M_005","Apis","Apidae",2.9,9,"Pequena",FALSE
"Bombus.bifarius","M_005","Bombus","Apidae",2.89,9,"Pequena",FALSE
"Bombus.centralis","M_005","Bombus","Apidae",3.06,9,"Pequena",FALSE
"Bombus.fervidus","M_005","Bombus","Apidae",3.48,9,"Pequena",FALSE
"Bombus.flavifrons","M_005","Bombus","Apidae",2.89,9,"Pequena",FALSE
"Bombus.hunti","M_005","Bombus","Apidae",5.13,9,"Pequena",FALSE
"Bombus.nevadensis","M_005","Bombus","Apidae",5.06,9,"Pequena",FALSE
"Bombus.occidentalis","M_005","Bombus","Apidae",3.89,9,"Pequena",FALSE
"Bombus.pennsylvanicus","M_005","Bombus","Apidae",6,9,"Pequena",FALSE
"Colletes.kincaidi","M_005","Colletes","Colletidae",1.97,9,"Pequena",FALSE
"Megachile.gemula.albula","M_005","Megachile","Megachilidae",3.62,9,"Pequena",FALSE
"Megachile.pugnata","M_005","Megachile","Megachilidae",3.1,9,"Pequena",FALSE
"Megachile.relativa","M_005","Megachile","Megachilidae",2.68,9,"Pequena",FALSE
"Megachile.texana","M_005","Megachile","Megachilidae",3.65,9,"Pequena",FALSE
"Osmia.bruneri","M_005","Osmia","Megachilidae",2.1,9,"Pequena",FALSE
"Osmia.nigrifrons","M_005","Osmia","Megachilidae",2.43,9,"Pequena",FALSE
"Osmia.pentstemonis","M_005","Osmia","Megachilidae",1.75,9,"Pequena",FALSE
"Osmia.pusilla","M_005","Osmia","Megachilidae",1.58,9,"Pequena",FALSE
"Agapostemon.splendens","M_062","Agapostemon","Halictidae",2.38,1,"Grande",FALSE
"Agapostemon.texanus","M_062","Agapostemon","Halictidae",2.04,1,"Grande",FALSE
"Andrena.arabis","M_062","Andrena","Andrenidae",2.1,1,"Grande",FALSE
"Andrena.carlini","M_062","Andrena","Andrenidae",2.9,1,"Grande",FALSE
"Andrena.mandibularis","M_062","Andrena","Andrenidae",1.87,1,"Grande",FALSE
"Andrena.nubecula","M_062","Andrena","Andrenidae",1.17,1,"Grande",FALSE
"Andrena.personata","M_062","Andrena","Andrenidae",1.2,1,"Grande",FALSE
"Andrena.pruni","M_062","Andrena","Andrenidae",2.5,1,"Grande",FALSE
"Andrena.spiraeana","M_062","Andrena","Andrenidae",1.94,1,"Grande",FALSE
"Ashmeadiella.bucconis","M_062","","Megachilidae",1.78,1,"Grande",FALSE
"Bombus.impatiens","M_062","Bombus","Apidae",4.42,1,"Grande",FALSE
"Bombus.impatiens","M_062","Bombus","Apidae",3.38,1,"Grande",FALSE
"Bombus.pennsylvanicus","M_062","Bombus","Apidae",6,1,"Grande",FALSE
"Bombus.ridingsii","M_062","Bombus","Apidae",5.44,1,"Grande",FALSE
"Calliopsis.andreniformis","M_062","Calliopsis","Andrenidae",1.36,1,"Grande",FALSE
"Calliopsis.coloradensis","M_062","Calliopsis","Andrenidae",1.65,1,"Grande",FALSE
"Ceratina.dupla","M_062","Ceratina","Apidae",1.42,1,"Grande",FALSE
"Colletes.compactus","M_062","Colletes","Colletidae",3.143,1,"Grande",FALSE
"Colletes.similis","M_062","Colletes","Colletidae",2.37,1,"Grande",FALSE
