"sp.armonizado","ID","Grado","Grado_max","Grado_relativo","Z_Grado"
"Lasioglossum kansuense","M_021",3,25,0.12,-0.233629276655158
"Lasioglossum laeviventre","M_056",14,22,0.636363636363636,1.18353133271252
"Lasioglossum laticeps","M_015",3,104,0.0288461538461538,-0.290066076965896
"Lasioglossum leucopus","M_049",2,11,0.181818181818182,-0.717138273031226
"Lasioglossum leucopus","M_047",1,13,0.0769230769230769,-0.633925273289415
"Lasioglossum leucozonium","M_006",1,10,0.1,-0.772807633514369
"Lasioglossum leucozonium","M_047",3,13,0.230769230769231,0.126785054657883
"Lasioglossum leucozonium","M_015",1,104,0.00961538461538462,-0.512116660022547
"Lasioglossum limbelloides","M_015",10,104,0.0961538461538462,0.487110963732383
"Lasioglossum limbellum","M_015",1,104,0.00961538461538462,-0.512116660022547
"Lasioglossum lineare","M_015",16,104,0.153846153846154,1.15326271290234
"Lasioglossum littorale","M_016",7,14,0.5,1.48437004163167
"Lasioglossum loetum","M_012",3,8,0.375,-0.222107998507545
"Lasioglossum lucidulum","M_015",2,104,0.0192307692307692,-0.401091368494221
"Lasioglossum macoupinens","M_073",2,21,0.0952380952380952,-0.360395016719779
"Lasioglossum mahense","M_061",29,31,0.935483870967742,0.977589800571701
"Lasioglossum malachurum","M_015",38,104,0.365384615384615,3.5958191265255
"Lasioglossum marginatum","M_015",24,104,0.230769230769231,2.04146504512894
"Lasioglossum mediterraneum","M_015",6,104,0.0576923076923077,0.0430097976190811
"Lasioglossum mesosclerum","M_015",1,104,0.00961538461538462,-0.512116660022547
"Lasioglossum mutilum","M_055",2,12,0.166666666666667,-0.39114421043298
"Lasioglossum mutilum","M_054",2,24,0.0833333333333333,-0.404805898367309
"Lasioglossum nigripes","M_015",1,104,0.00961538461538462,-0.512116660022547
"Lasioglossum nipponense","M_057",2,37,0.0540540540540541,-0.442799213704871
"Lasioglossum nipponense","M_056",5,22,0.227272727272727,-0.141805597467859
"Lasioglossum nitidulum","M_015",2,104,0.0192307692307692,-0.401091368494221
"Lasioglossum nutilum","M_044",6,21,0.285714285714286,0.22198792136679
"Lasioglossum oblongum","M_073",1,21,0.0476190476190476,-0.567092158662006
"Lasioglossum obscuratum","M_015",6,104,0.0576923076923077,0.0430097976190811
"Lasioglossum obscurum","M_073",6,21,0.285714285714286,0.466393551049126
"Lasioglossum occidens","M_054",19,24,0.791666666666667,2.8027662624245
"Lasioglossum occidens","M_021",8,25,0.32,0.623997181952385
"Lasioglossum occidens","M_057",18,37,0.486486486486487,1.52045513139624
"Lasioglossum occidens","M_053",1,15,0.0666666666666667,-0.667699814750755
"Lasioglossum pallens","M_016",1,14,0.0714285714285714,-0.696745121582211
"Lasioglossum pauxillum","M_015",9,104,0.0865384615384615,0.376085672204058
"Lasioglossum percrassicepes","M_055",3,12,0.25,-0.0460169659332917
"Lasioglossum politum","M_015",6,104,0.0576923076923077,0.0430097976190811
"Lasioglossum prasinum","M_016",9,14,0.642857142857143,2.21140842936963
"Lasioglossum problematicum","M_056",7,22,0.318181818181818,0.152713720350002
"Lasioglossum problematicum","M_057",1,37,0.027027027027027,-0.565502610273691
"Lasioglossum problematicum","M_021",5,25,0.2,0.109421306787859
"Lasioglossum proximatum","M_054",1,24,0.0416666666666667,-0.593486613708003
"Lasioglossum proximatum","M_056",1,22,0.0454545454545455,-0.730844233103581
"Lasioglossum proximatum","M_021",3,25,0.12,-0.233629276655158
"Lasioglossum punctatissimum","M_047",6,13,0.461538461538462,1.26785054657883
"Lasioglossum punctatissimum","M_016",7,14,0.5,1.48437004163167
"Lasioglossum quadrinotatum","M_049",4,11,0.363636363636364,-0.12364452983297
"Lasioglossum quadrinotatum","M_015",3,104,0.0288461538461538,-0.290066076965896
