"sp.armonizado","ID","Grado","Grado_max","Grado_relativo","Z_Grado"
"Anthophora orotavae","M_050",3,7,0.428571428571429,-0.192582221629911
"Anthophora plumipes","M_015",5,104,0.0480769230769231,-0.0806291165971086
"Anthophora plumipes","M_007",1,10,0.1,-0.568903074579574
"Anthophora quadricolor","M_005",3,32,0.09375,-0.569462142979313
"Anthophora retusa","M_015",1,104,0.00961538461538462,-0.507114707018657
"Anthophora sp","M_001",2,16,0.125,-0.660142021243349
"Apis cerana","M_055",6,6,1,1.72132593164774
"Apis cerana","M_021",11,25,0.44,0.398138081434752
"Apis cerana","M_053",2,15,0.133333333333333,-0.983967366838245
"Apis cerana","M_044",3,9,0.333333333333333,-0.208682503092076
"Apis cerana japonica","M_054",23,23,1,2.08012573584461
"Apis cerana japonica","M_057",17,37,0.459459459459459,0.284654636668348
"Apis mellifera","M_015",104,104,1,10.4748892463362
"Apis mellifera","M_061",31,31,1,NA
"Apis mellifera","M_054",15,23,0.652173913043478,0.970725343394151
"Apis mellifera","M_060",59,59,1,NA
"Apis mellifera","M_058",13,13,1,1.50494741178392
"Apis mellifera","M_035",19,19,1,0.707106781186547
"Apis mellifera","M_013",3,3,1,NA
"Apis mellifera","M_008",6,6,1,1.49337496174648
"Apis mellifera","M_072",38,38,1,0.707106781186547
"Apis mellifera","M_016",14,14,1,3.87176598801864
"Apis mellifera","M_031",17,17,1,1.11576679609947
"Apis mellifera","M_076",33,33,1,1.91418968166809
"Apis mellifera","M_021",5,25,0.2,-0.348370821255408
"Apis mellifera","M_047",13,13,1,3.93033669439437
"Apis mellifera","M_040",6,6,1,NA
"Apis mellifera","M_036",3,3,1,NA
"Apis mellifera","M_023",2,2,1,NA
"Apis mellifera","M_012",6,8,0.75,0.943958993657067
"Apis mellifera","M_005",22,32,0.6875,1.50793575460922
"Apis mellifera","M_041",11,11,1,NA
"Apis mellifera","M_11.2",12,12,1,0.707106781186548
"Apis mellifera","M_014",3,3,1,0.707106781186547
"Apis mellifera","M_034",18,21,0.857142857142857,0.404095097103855
"Apis mellifera","M_050",2,7,0.285714285714286,-0.641940738766369
"Apis mellifera","M_039",6,13,0.461538461538462,0.261968415997792
"Apis mellifera","M_017",1,5,0.2,-1.09544511501033
"Apis mellifera","M_033",5,11,0.454545454545455,-0.444323528893858
"Apis mellifera","M_056",1,20,0.05,-0.869606189660721
"Apis mellifera","M_053",11,15,0.733333333333333,0.819972805698538
"Apis mellifera","M_025",6,7,0.857142857142857,1.30742228456157
"Apis mellifera","M_030",8,8,1,1.14458617822331
"Apis mellifera","M_044",2,9,0.222222222222222,-0.486925840548177
"Apis mellifera","M_019",1,1,1,NA
"Apis mellifera","M_073",2,21,0.0952380952380952,-0.46613954048707
"Apis mellifera","M_007",1,10,0.1,-0.568903074579574
"Apis mellifera","M_049",5,11,0.454545454545455,0
"Apis mellifera","M_059",4,13,0.307692307692308,-0.632455532033676
"Apis mellifera","M_032",6,6,1,2.01663208822361
"Apis mellifera","M_046",5,9,0.555555555555556,-1.0914103126635
"Apis mellifera","M_11.1",3,6,0.5,-0.577350269189626
"Apis mellifera","M_028",4,10,0.4,-0.118992823461746
"Apis mellifera","M_029",1,3,0.333333333333333,-0.577350269189626
"Apis mellifera","M_055",3,6,0.5,0.172132593164774
"Ashmeadiella bucconis","M_062",42,121,0.347107438016529,0.467281650156106
"Augochlora pura","M_073",21,21,1,2.75446092105996
"Augochlora pura","M_025",4,7,0.571428571428571,0.40023131160048
"Augochlora pura","M_032",1,6,0.166666666666667,-1.03887107575156
"Augochlorella aurata","M_073",10,21,0.476190476190476,0.889902759111679
"Bombus alpinus","M_009",1,1,1,NA
"Bombus ardens","M_054",8,23,0.347826086956522,0
"Bombus ardens","M_021",8,25,0.32,0.024883630089672
"Bombus ardens","M_056",12,20,0.6,0.621147278329087
"Bombus ardens","M_057",14,37,0.378378378378378,0.0406649480954782
"Bombus ardens","M_053",9,15,0.6,0.419097211801475
"Bombus argillaceus","M_015",11,104,0.105769230769231,0.559099269035213
"Bombus atratus","M_031",6,17,0.352941176470588,-0.300398752796012
"Bombus atratus","M_072",1,38,0.0263157894736842,-0.707106781186547
"Bombus bifarius","M_005",21,32,0.65625,1.39859902315719
"Bombus bimaculatus","M_073",5,21,0.238095238095238,0.0423763218624609
"Bombus bimaculatus","M_025",7,7,1,1.76101777104211
"Bombus bohemicus","M_047",4,13,0.307692307692308,0.507140218631532
"Bombus bohemicus","M_018",1,15,0.0666666666666667,-0.766553381172933
"Bombus bohemicus","M_037",1,4,0.25,-0.923132662754102
"Bombus brasiliensis","M_074",1,1,1,NA
"Bombus brevivillus","M_076",1,33,0.0303030303030303,-0.638063227222696
"Bombus campestris","M_043",2,10,0.2,-0.474341649025257
"Bombus campestris","M_018",2,15,0.133333333333333,-0.538659132716115
"Bombus centralis","M_005",5,32,0.15625,-0.350788680075257
"Bombus consobrinus","M_056",13,20,0.65,0.756670320873615
"Bombus cryptarum","M_047",1,13,0.0769230769230769,-0.633925273289415
"Bombus dahlbomii","M_003",3,7,0.428571428571429,-0.198679853559757
"Bombus dahlbomii","M_051",10,10,1,1.62735240868995
"Bombus dahlbomii","M_034",21,21,1,0.734718358370645
"Bombus dahlbomii","M_001",7,16,0.4375,0.425617882117422
"Bombus dahlbomii","M_002",8,8,1,2.10999839431137
"Bombus diversus","M_055",5,6,0.833333333333333,1.20492815215342
"Bombus diversus","M_053",13,15,0.866666666666667,1.2208483995956
"Bombus diversus","M_056",14,20,0.7,0.892193363418143
"Bombus diversus diversus","M_021",25,25,1,2.13999218771179
