"esp","ID","especie","Familia.planta","Genero.planta","Especie.planta.nuevo","interaccionn","interaccion","Aceptado","Bases.de.datos","sp.armonizado","genero.x","genero.y","orden","familia"
"Agapostemon texanus","M_062","Agapostemon.texanus","Ranunculaceae","Thalictrum","Thalictrum thalictroides",1,1,NA,NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"Agapostemon texanus","M_062","Agapostemon.texanus","Asteraceae","Symphyotrichum","Symphyotrichum lateriflorum",1,1,NA,NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"Agapostemon texanus","M_062","Agapostemon.texanus",NA,NA,"Actinomeris alternifolia",1,1,NA,NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"Agapostemon texanus","M_062","Agapostemon.texanus","Fabaceae","Cercis","Cercis canadensis",1,1,NA,NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"Agapostemon texanus","M_062","Agapostemon.texanus","Asteraceae","Anacias","Anacis palmata",1,1,NA,NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"Agapostemon texanus","M_062","Agapostemon.texanus","Fabaceae","Chamaecrista","Chamaecrista fasciculata",1,1,NA,NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"Agapostemon texanus","M_062","Agapostemon.texanus","Cucurbitaceae","Cucurbita","Cucurbita pepo",1,1,NA,NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"Agapostemon texanus","M_062","Agapostemon.texanus","Asteraceae","Symphyotrichum","Symphyotrichum turbinellum",1,1,NA,NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"Agapostemon texanus","M_062","Agapostemon.texanus","Solanaceae","Datura","Datura stramonium",2,1,NA,NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"Agapostemon texanus","M_062","Agapostemon.texanus",NA,NA,"Actea alba",1,1,NA,NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"Agapostemon texanus","M_062","Agapostemon.texanus","Asteraceae","Boltonia","Boltonia asteroides",1,1,NA,NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"Agapostemon texanus","M_062","Agapostemon.texanus","Amaranthaceae","Amaranthus","Amaranthus spinosus",1,1,NA,NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"Agapostemon texanus","M_062","Agapostemon.texanus","Cornaceae","Cornus","Cornus florida",1,1,NA,NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"Agapostemon texanus","M_062","Agapostemon.texanus","Asteraceae","Anacias","Anacis tripteris",1,1,NA,NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"Agapostemon texanus","M_062","Agapostemon.texanus","Asteraceae","Cacalia","Arnoglossum plantagineum",1,1,NA,NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"Agapostemon texanus","M_062","Agapostemon.texanus","Asteraceae","Adenostyles","Adenostyles alpina",1,1,NA,NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"Agapostemon texanus","M_062","Agapostemon.texanus",NA,NA,"Castalia tuberosa",1,1,NA,NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"Agapostemon texanus","M_062","Agapostemon.texanus","Asteraceae","Achillea","Achillea millefolium",1,1,NA,NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"Agapostemon texanus","M_062","Agapostemon.texanus","Cornaceae","Cornus","Cornus oblonga",1,1,NA,NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"Agapostemon texanus","M_062","Agapostemon.texanus","Asteraceae","Ambrosia","Ambrosia trifida",1,1,NA,NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"Agapostemon virescens","M_073","Agapostemon.virescens","Asteraceae","Smallanthus","Smallanthus uvedalia",1,1,NA,NA,"Agapostemon virescens","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"Alloscirtetica antarctica","M_022","Alloscirtetica.antarctica","Iridaceae","Olsynium","Olsynium junceum",1,1,NA,NA,"Alloscirtetica antarctica","Alloscirtetica","Alloscirtetica","Hymenoptera","Apidae"
"Alloscirtetica gayi","M_001","Alloscirtetica.gayi","Lamiaceae","Stachys","Stachys albicaulis",1,1,NA,NA,"Alloscirtetica gayi","Alloscirtetica","Alloscirtetica","Hymenoptera","Apidae"
"Alloscirtetica gayi","M_001","Alloscirtetica.gayi","Alstroemeriaceae","Alstroemeria","Alstroemeria pallida",1,1,NA,NA,"Alloscirtetica gayi","Alloscirtetica","Alloscirtetica","Hymenoptera","Apidae"
"Alloscirtetica herbsti","M_023","Alloscirtetica.herbsti","Asteraceae","Grindelia","Grindelia chiloensis",1,1,NA,NA,"Alloscirtetica herbsti","Alloscirtetica","Alloscirtetica","Hymenoptera","Apidae"
"Alloscirtetica rufitarsis","M_001","Alloscirtetica.rufitarsis","Lamiaceae","Stachys","Stachys albicaulis",1,1,NA,NA,"Alloscirtetica rufitarsis","Alloscirtetica","Alloscirtetica","Hymenoptera","Apidae"
"Alloscirtetica rufitarsis","M_001","Alloscirtetica.rufitarsis","Fabaceae","Adesmia","Adesmia conferta",1,1,NA,NA,"Alloscirtetica rufitarsis","Alloscirtetica","Alloscirtetica","Hymenoptera","Apidae"
