"sp.armonizado","ID","Grado","Grado_max","Grado_relativo","Z_Grado"
"Lasioglossum sp10 M PL 057","M_057",1,37,0.027027027027027,-0.526844277609662
"Lasioglossum sp11 M PL 019","M_019",1,13,0.0769230769230769,-0.588751107997919
"Lasioglossum sp11 M PL 057","M_057",1,37,0.027027027027027,-0.526844277609662
"Lasioglossum sp12 M PL 057","M_057",1,37,0.027027027027027,-0.526844277609662
"Lasioglossum sp1M PL 073","M_073",5,21,0.238095238095238,0.25301888793006
"Lasioglossum sp2 M PL 019","M_019",1,13,0.0769230769230769,-0.588751107997919
"Lasioglossum sp2 M PL 021","M_021",6,25,0.24,0.315750998526106
"Lasioglossum sp2 M PL 044","M_044",2,21,0.0952380952380952,-0.475207531820161
"Lasioglossum sp2 M PL 053","M_053",8,15,0.533333333333333,1.37427142020301
"Lasioglossum sp2 M PL 054","M_054",1,24,0.0416666666666667,-0.565655243280164
"Lasioglossum sp2 M PL 057","M_057",4,37,0.108108108108108,-0.132883571503921
"Lasioglossum sp3 M PL 019","M_019",2,13,0.153846153846154,-0.287833875021205
"Lasioglossum sp3 M PL 021","M_021",2,25,0.08,-0.393303875357079
"Lasioglossum sp3 M PL 044","M_044",1,21,0.0476190476190476,-0.66217442958547
"Lasioglossum sp3 M PL 053","M_053",5,15,0.333333333333333,0.501423356020019
"Lasioglossum sp3 M PL 057","M_057",1,37,0.027027027027027,-0.526844277609662
"Lasioglossum sp4 M PL 019","M_019",2,13,0.153846153846154,-0.287833875021205
"Lasioglossum sp4 M PL 021","M_021",2,25,0.08,-0.393303875357079
"Lasioglossum sp4 M PL 053","M_053",4,15,0.266666666666667,0.210474001292354
"Lasioglossum sp4 M PL 057","M_057",2,37,0.0540540540540541,-0.395524042241081
"Lasioglossum sp5 M PL 019","M_019",3,13,0.230769230769231,0.0130833579555094
"Lasioglossum sp5 M PL 021","M_021",1,25,0.04,-0.570567593827875
"Lasioglossum sp5 M PL 053","M_053",3,15,0.2,-0.0804753534353117
"Lasioglossum sp5 M PL 057","M_057",3,37,0.0810810810810811,-0.264203806872501
"Lasioglossum sp6 M PL 019","M_019",13,13,1,3.02225568772265
"Lasioglossum sp6 M PL 021","M_021",1,25,0.04,-0.570567593827875
"Lasioglossum sp6 M PL 053","M_053",1,15,0.0666666666666667,-0.662374062890642
"Lasioglossum sp6 M PL 057","M_057",1,37,0.027027027027027,-0.526844277609662
"Lasioglossum sp7 M PL 019","M_019",1,13,0.0769230769230769,-0.588751107997919
"Lasioglossum sp7 M PL 053","M_053",1,15,0.0666666666666667,-0.662374062890642
"Lasioglossum sp7 M PL 057","M_057",1,37,0.027027027027027,-0.526844277609662
"Lasioglossum sp8 M PL 019","M_019",6,13,0.461538461538462,0.915835056885652
"Lasioglossum sp8 M PL 053","M_053",1,15,0.0666666666666667,-0.662374062890642
"Lasioglossum sp8 M PL 057","M_057",1,37,0.027027027027027,-0.526844277609662
"Lasioglossum sp9 M PL 019","M_019",2,13,0.153846153846154,-0.287833875021205
"Lasioglossum sp9 M PL 057","M_057",1,37,0.027027027027027,-0.526844277609662
"Lasioglossum subopacum","M_044",9,21,0.428571428571429,0.833560752537003
"Lasioglossum subviridatum","M_073",1,21,0.0476190476190476,-0.593819839019529
"Lasioglossum taniolellum","M_054",5,24,0.208333333333333,0.238529319455491
"Lasioglossum taniolellum","M_021",1,25,0.04,-0.570567593827875
"Lasioglossum tegulare","M_073",2,21,0.0952380952380952,-0.382110157282132
"Lasioglossum transitorium","M_015",1,38,0.0263157894736842,-0.65770775023244
"Lasioglossum transpositum","M_021",11,25,0.44,1.20206959088009
"Lasioglossum transpositum","M_057",14,37,0.378378378378378,1.18031878218188
"Lasioglossum villosulum","M_016",1,9,0.111111111111111,-0.727545137374849
"Lasioglossum villosulum","M_047",4,8,0.5,0.689482979618966
"Lasioglossum villosulum","M_007",1,10,0.1,-0.604538515437949
"Lasioglossum villosulum","M_015",6,38,0.157894736842105,0.174877802233414
"Lasioglossum villosulum","M_006",1,10,0.1,-0.772807633514369
"Lasioglossum viride","M_008",4,6,0.666666666666667,0.511000838420582
