"ID","Orden.GBIF","Familia.GBIF","Genero.GBIF","Genero.original","planta","interaccion","especie","esp","Aceptado","sp.armonizado"
"M_015","Apiales","Apiaceae","Tordylium","Tordylium","Tordylium.apulum",1,"Syritta.pipiens","Syritta pipiens",NA,"Syritta pipiens"
"M_015","Apiales","Apiaceae","Tordylium","Tordylium","Tordylium.apulum",1,"Clypeocampulum.lubricum","Clypeocampulum lubricum",NA,"Clypeocampulum lubricum"
"M_015","Apiales","Apiaceae","Tordylium","Tordylium","Tordylium.apulum",1,"Globicornis.sp1.M.PL.015","Globicornis sp1 M PL 015",NA,"Globicornis sp1 M PL 015"
"M_015","Apiales","Apiaceae","Tordylium","Tordylium","Tordylium.apulum",1,"Leucophora.sp1.M.PL.015","Leucophora sp1 M PL 015",NA,"Leucophora sp1 M PL 015"
"M_015","Apiales","Apiaceae","Tordylium","Tordylium","Tordylium.apulum",1,"Spermophagus.sericeus","Spermophagus sericeus",NA,"Spermophagus sericeus"
"M_015","Apiales","Apiaceae","Tordylium","Tordylium","Tordylium.apulum",1,"Bithia.acanthophora","Bithia acanthophora",NA,"Bithia acanthophora"
"M_015","Apiales","Apiaceae","Tordylium","Tordylium","Tordylium.apulum",1,"Epicometis.hirta","Epicometis hirta",NA,"Epicometis hirta"
"M_015","Apiales","Apiaceae","Tordylium","Tordylium","Tordylium.apulum",1,"Tiphia.caucasica","Tiphia caucasica",NA,"Tiphia caucasica"
"M_015","Apiales","Apiaceae","Tordylium","Tordylium","Tordylium.apulum",1,"Enneastigma.triplex","Enneastigma triplex",NA,"Enneastigma triplex"
"M_015","Apiales","Apiaceae","Tordylium","Tordylium","Tordylium.apulum",1,"Hymenoptera.sp9.M.PL.015","Hymenoptera sp9 M PL 015",NA,"Hymenoptera sp9 M PL 015"
"M_015","Apiales","Apiaceae","Tordylium","Tordylium","Tordylium.apulum",1,"Athrycia.trepida","Athrycia trepida",NA,"Athrycia trepida"
"M_015","Apiales","Apiaceae","Tordylium","Tordylium","Tordylium.apulum",1,"Podonta.milleri","Podonta milleri",NA,"Podonta milleri"
"M_015","Apiales","Apiaceae","Tordylium","Tordylium","Tordylium.apulum",1,"Conophorus.glaucescens","Conophorus glaucescens",NA,"Conophorus glaucescens"
"M_015","Apiales","Apiaceae","Tordylium","Tordylium","Tordylium.apulum",1,"Syrphus.vitripennis","Syrphus vitripennis",NA,"Syrphus vitripennis"
"M_015","Apiales","Apiaceae","Tordylium","Tordylium","Tordylium.apulum",1,"Empis.sp1.M.PL.015","Empis sp1 M PL 015",NA,"Empis sp1 M PL 015"
"M_015","Apiales","Apiaceae","Tordylium","Tordylium","Tordylium.apulum",1,"Tehthredo.zona","Tehthredo zona",NA,"Tehthredo zona"
"M_015","Apiales","Apiaceae","Tordylium","Tordylium","Tordylium.apulum",1,"Eristalis.pratorum","Eristalis pratorum",NA,"Eristalis pratorum"
"M_015","Apiales","Apiaceae","Tordylium","Tordylium","Tordylium.apulum",1,"Pollenia.longitheca","Pollenia longitheca",NA,"Pollenia longitheca"
"M_015","Apiales","Apiaceae","Tordylium","Tordylium","Tordylium.apulum",1,"Anthrenus.museorum","Anthrenus museorum",NA,"Anthrenus museorum"
"M_015","Apiales","Apiaceae","Tordylium","Tordylium","Tordylium.apulum",1,"Unidentified.sp1.M.PL.015","Unidentified sp1 M PL 015",NA,"Unidentified sp1 M PL 015"
"M_015","Apiales","Apiaceae","Tordylium","Tordylium","Tordylium.apulum",1,"Tehthredo.zonula","Tehthredo zonula",NA,"Tehthredo zonula"
"M_015","Apiales","Apiaceae","Tordylium","Tordylium","Tordylium.apulum",1,"Unidentified.sp3.M.PL.015","Unidentified sp3 M PL 015",NA,"Unidentified sp3 M PL 015"
"M_015","Apiales","Apiaceae","Tordylium","Tordylium","Tordylium.apulum",1,"Tachina.fera","Tachina fera",NA,"Tachina fera"
"M_015","Apiales","Apiaceae","Tordylium","Tordylium","Tordylium.apulum",1,"Orellia.falcata","Orellia falcata",NA,"Orellia falcata"
"M_015","Apiales","Apiaceae","Tordylium","Tordylium","Tordylium.apulum",1,"Oxythyrea.funesta","Oxythyrea funesta",NA,"Oxythyrea funesta"
"M_015","Apiales","Apiaceae","Tordylium","Tordylium","Tordylium.apulum",1,"Sarcophaga.haemorrhoides","Sarcophaga haemorrhoides",NA,"Sarcophaga haemorrhoides"
"M_015","Apiales","Apiaceae","Tordylium","Tordylium","Tordylium.apulum",1,"Unidentified.sp23.M.PL.015","Unidentified sp23 M PL 015",NA,"Unidentified sp23 M PL 015"
"M_015","Apiales","Apiaceae","Tordylium","Tordylium","Tordylium.apulum",1,"Bibio.hortulanus","Bibio hortulanus",NA,"Bibio hortulanus"
"M_015","Apiales","Apiaceae","Tordylium","Tordylium","Tordylium.apulum",1,"Malachius.sp1.M.PL.015","Malachius sp1 M PL 015",NA,"Malachius sp1 M PL 015"
"M_015","Apiales","Apiaceae","Tordylium","Tordylium","Tordylium.apulum",1,"Dasytes.striatulus","Dasytes striatulus",NA,"Dasytes striatulus"
"M_015","Apiales","Apiaceae","Tordylium","Tordylium","Tordylium.apulum",1,"Andrena.osyychniuki","Andrena osyychniuki","Andrena abbreviata subsp. Osychniukae","Andrena abbreviata subsp. Osychniukae"
"M_015","Apiales","Apiaceae","Tordylium","Tordylium","Tordylium.apulum",1,"Nomada.lucidula","Nomada lucidula",NA,"Nomada lucidula"
"M_015","Apiales","Apiaceae","Tordylium","Tordylium","Tordylium.apulum",1,"Myathropa.florea","Myathropa florea",NA,"Myathropa florea"
"M_015","Apiales","Apiaceae","Tordylium","Tordylium","Tordylium.apulum",1,"Athalia.glabricollis","Athalia glabricollis",NA,"Athalia glabricollis"
"M_015","Apiales","Apiaceae","Tordylium","Tordylium","Tordylium.apulum",1,"Lucilia.sericata","Lucilia sericata",NA,"Lucilia sericata"
"M_015","Apiales","Apiaceae","Tordylium","Tordylium","Tordylium.apulum",1,"Orphilus.niger","Orphilus niger",NA,"Orphilus niger"
"M_015","Apiales","Apiaceae","Tordylium","Tordylium","Tordylium.apulum",1,"Eumerus.tricolor","Eumerus tricolor",NA,"Eumerus tricolor"
"M_015","Apiales","Apiaceae","Tordylium","Tordylium","Tordylium.apulum",1,"Merodon.clavipes","Merodon clavipes",NA,"Merodon clavipes"
