"Genero.original","Genero.especie","Orden.GBIF","Familia.GBIF","Genero.GBIF","genero.es.igual"
"Asparagus","Asparagus.aphyllus","Liliales","Liliaceae","Asparagus",TRUE
"Asparagus","Asparagus.acutifolius","Asparagales","Asparagaceae","Asparagus",TRUE
"Asparagus","Asparagus.acutifolius","Liliales","Liliaceae","Asparagus",TRUE
"Asparagus","Asparagus.schoberioides","Asparagales","Asparagaceae","Asparagus",TRUE
"Asparagus","Asparagus.schoberioides","Liliales","Liliaceae","Asparagus",TRUE
"Asperula","Asperula.gunnii","Gentianales","Rubiaceae","Asperula",TRUE
"Asphodelus","Asphodelus.aestivus","Liliales","Liliaceae","Asphodelus",TRUE
"Asphodelus","Asphodelus.aestivus","Asparagales","Asphodelaceae","Asphodelus",TRUE
"Aspidonepsis","Aspidonepsis.diploglossa","Gentianales","Apocynaceae","Aspidonepsis",TRUE
"Aster","Aster.ageratoides","Asterales","Asteraceae","Aster",TRUE
"Aster","Aster.foliaceus","Asterales","Asteraceae","Aster",TRUE
"Aster","Aster.glehni","Asterales","Asteraceae","Aster",TRUE
"Aster","Aster.paniculatus","Asterales","Asteraceae","Aster",TRUE
"Aster","Aster.scaber","Asterales","Asteraceae","Aster",TRUE
"Aster","Aster.novaeangliae","Asterales","Asteraceae","Aster",TRUE
"Aster","Aster.ericoides.villosus","Asterales","Asteraceae","Aster",TRUE
"Aster","Aster.multiflorus","Asterales","Asteraceae","Aster",TRUE
"Aster","Aster.sagittifolius","Asterales","Asteraceae","Aster",TRUE
"Aster","Aster.salicifolius","Asterales","Asteraceae","Aster",TRUE
"Aster","Aster.ageratoides.ovatus","Asterales","Asteraceae","Aster",TRUE
"Aster","Aster.ageratoides.amplexifolius","Asterales","Asteraceae","Aster",TRUE
"Aster","Aster.turbinellus","Asterales","Asteraceae","Aster",TRUE
"Aster","Aster.anomalus","Asterales","Asteraceae","Aster",TRUE
"Aster","Aster.lateriflorus","Asterales","Asteraceae","Aster",TRUE
"Aster","Aster.subulatus","Asterales","Asteraceae","Aster",TRUE
"Aster","Aster.asa-grayi","Asterales","Asteraceae","Aster",TRUE
"Asteranthera","Asteranthera.ovata","Lamiales","Gesneriaceae","Asteranthera",TRUE
"Asteriscium","Asteriscium.aemocarpon","Apiales","Apiaceae","Asteriscium",TRUE
"Asteriscium","Asteriscium.aemocarpon","Asterales","Asteraceae","Asteriscium",TRUE
"Astilbe","Astilbe.thunbergii","Saxifragales","Saxifragaceae","Astilbe",TRUE
"Astragalus","Astragalus.canadensis","Fabales","Fabaceae","Astragalus",TRUE
"Astragalus","Astragalus.nivicola","Fabales","Fabaceae","Astragalus",TRUE
"Astragalus","Astragalus.sinicus","Fabales","Fabaceae","Astragalus",TRUE
"Astragalus","Astragalus.drummondi","Fabales","Fabaceae","Astragalus",TRUE
"Astragalus","Astragalus.mexicanus","Fabales","Fabaceae","Astragalus",TRUE
"Astragalus","Astragalus.monspessulanus","Fabales","Fabaceae","Astragalus",TRUE
"Astragalus","Astragalus.cruckshanksii","Fabales","Fabaceae","Astragalus",TRUE
"Astragalus","Astragalus.sp","Fabales","Fabaceae","Astragalus",TRUE
"Astragalus","Astragalus.alpinus","Fabales","Fabaceae","Astragalus",TRUE
"Astragalus","Astragalus.curvicaulis","Fabales","Fabaceae","Astragalus",TRUE
"Aucuba","Aucuba.japonica","Garryales","Garryaceae","Aucuba",TRUE
"Avicennia","Avicennia.germinans","Lamiales","Acanthaceae","Avicennia",TRUE
"Azorella","Azorella.monanthos","Apiales","Apiaceae","Laretia",FALSE
"Azorella","Azorella.monanthos","Apiales","Apiaceae","Azorella",TRUE
"Azorella","Azorella.monanthos","Apiales","Apiaceae","Mulinum",FALSE
"Azorella","Azorella.madreporica","Apiales","Apiaceae","Laretia",FALSE
"Azorella","Azorella.madreporica","Apiales","Apiaceae","Azorella",TRUE
"Azorella","Azorella.madreporica","Apiales","Apiaceae","Mulinum",FALSE
"Azorella","Azorella.monantha","Apiales","Apiaceae","Laretia",FALSE
"Azorella","Azorella.monantha","Apiales","Apiaceae","Azorella",TRUE
"Azorella","Azorella.monantha","Apiales","Apiaceae","Mulinum",FALSE
"Azorella","Azorella.bolacina","Apiales","Apiaceae","Laretia",FALSE
"Azorella","Azorella.bolacina","Apiales","Apiaceae","Azorella",TRUE
"Azorella","Azorella.bolacina","Apiales","Apiaceae","Mulinum",FALSE
"Azorina","Azorina.vidalii",NA,NA,NA,TRUE
"Baccharis","Baccharis.articulata","Asterales","Asteraceae","Baccharis",TRUE
"Baccharis","Baccharis.tandilensis","Asterales","Asteraceae","Baccharis",TRUE
"Baccharis","Baccharis.coridifolia","Asterales","Asteraceae","Baccharis",TRUE
"Baccharis","Baccharis.pingraea","Asterales","Asteraceae","Baccharis",TRUE
"Baccharis","Baccharis.trimera","Asterales","Asteraceae","Baccharis",TRUE
"Bacopa","Bacopa.monniera","Lamiales","Plantaginaceae","Bacopa",TRUE
"Badula","Badula.platiphylla","Ericales","Primulaceae","Badula",TRUE
"Badula","Badula.insularis","Ericales","Primulaceae","Badula",TRUE
"Baeckia","Baeckia.gunniana","Myrtales","Myrtaceae","Baeckia",TRUE
"Bakerella","Bakerella.hoyifolia","Santalales","Loranthaceae","Bakerella",TRUE
"Ballota","Ballota.acetabulosa","Lamiales","Lamiaceae","Ballota",TRUE
"Banisteriopsis","Banisteriopsis.muricata","Malpighiales","Malpighiaceae","Banisteriopsis",TRUE
"Banisteriopsis","Banisteriopsis.schizoptera","Malpighiales","Malpighiaceae","Banisteriopsis",TRUE
"Banisteriopsis","Banisteriopsis.stellaris","Malpighiales","Malpighiaceae","Banisteriopsis",TRUE
"Baptisia","Baptisia.bracteata","Fabales","Fabaceae","Baptisia",TRUE
"Baptisia","Baptisia.leucantha","Fabales","Fabaceae","Baptisia",TRUE
"Barneoudia","Barneoudia.chilensis",NA,NA,NA,TRUE
"Barneoudia","Barneoudia.major",NA,NA,NA,TRUE
"Barringtonia","Barringtonia.racemosa","Ericales","Lecythidaceae","Barringtonia",TRUE
"Barringtonia","Barringtonia.racemosa","Ericales","Lecythidaceae","Mitraria",FALSE
"Bartsia","Bartsia.alpina","Lamiales","Orobanchaceae","Bartsia",TRUE
"Bastardia","Bastardia.viscosa",NA,NA,NA,TRUE
"Bauhinia","Bauhinia.divaricata","Fabales","Fabaceae","Bauhinia",TRUE
