"Genero.original","Genero.especie","Orden.GBIF","Familia.GBIF","Genero.GBIF","genero.es.igual","n.fam"
"Antennaria","Antennaria.alpina","Asterales","Asteraceae","Antennaria",TRUE,1
"Antenoron","Antenoron.filiforme",NA,NA,NA,TRUE,1
"Anthemis","Anthemis.cotula","Asterales","Asteraceae","Anthemis",TRUE,1
"Anthriscus","Anthriscus.sylvestris","Apiales","Apiaceae","Anthriscus",TRUE,1
"Anthriscus","Anthriscus.aemula","Apiales","Apiaceae","Anthriscus",TRUE,1
"Anthyllis","Anthyllis.hermanniae","Caryophyllales","Caryophyllaceae","Anthyllis",TRUE,2
"Anthyllis","Anthyllis.hermanniae","Fabales","Fabaceae","Anthyllis",TRUE,2
"Antidesma","Antidesma.joponicum","Malpighiales","Phyllanthaceae","Antidesma",TRUE,1
"Antidesma","Antidesma.madagascariense","Malpighiales","Phyllanthaceae","Antidesma",TRUE,1
"Antirhea","Antirhea.borbonica","Gentianales","Rubiaceae","Antirhea",TRUE,1
"Aphloia","Aphloia.theiformis","Crossosomatales","Aphloiaceae","Aphloia",TRUE,1
"Apios","Apios.tuberosa","Fabales","Fabaceae","Apios",TRUE,1
"Apocynum","Apocynum.androsaemifolium","Gentianales","Apocynaceae","Apocynum",TRUE,1
"Apocynum","Apocynum.cannabinum","Gentianales","Apocynaceae","Apocynum",TRUE,1
"Apodanthera","Apodanthera.sagitifolia","Cucurbitales","Cucurbitaceae","Apodanthera",TRUE,1
"Appolonias","Appolonias.barbujana",NA,NA,NA,TRUE,1
"Aquilegia","Aquilegia.canadensis","Ranunculales","Ranunculaceae","Aquilegia",TRUE,1
"Aquilegia","Aquilegia.buergeriana","Ranunculales","Ranunculaceae","Aquilegia",TRUE,1
"Aquilegia","Aquilegia.coerulea","Ranunculales","Ranunculaceae","Aquilegia",TRUE,1
"Aquilegia","Aquilegia.brevistyla","Ranunculales","Ranunculaceae","Aquilegia",TRUE,1
"Arabis","Arabis.dentata","Brassicales","Brassicaceae","Arabis",TRUE,1
"Arabis","Arabis.alpina","Brassicales","Brassicaceae","Arabis",TRUE,1
"Arabis","Arabis.lyrata.kamtschatica","Brassicales","Brassicaceae","Arabis",TRUE,1
"Arabis","Arabis.laevigata","Brassicales","Brassicaceae","Arabis",TRUE,1
"Arabis","Arabis.virginica","Brassicales","Brassicaceae","Arabis",TRUE,1
"Arabis","Arabis.glabra","Brassicales","Brassicaceae","Arabis",TRUE,1
"Arabis","Arabis.hirsuta","Brassicales","Brassicaceae","Arabis",TRUE,1
"Aragalus","Aragalus.lamberti",NA,NA,NA,TRUE,1
"Aralia","Aralia.nudicaulis","Apiales","Araliaceae","Aralia",TRUE,1
"Aralia","Aralia.cordata","Apiales","Araliaceae","Aralia",TRUE,1
"Aralta","Aralta.elata",NA,NA,NA,TRUE,1
"Arctium","Arctium.minus","Asterales","Asteraceae","Arctium",TRUE,1
"Arctostaphylus","Arctostaphylus.uva-ursi",NA,NA,NA,TRUE,1
"Ardisia","Ardisia.pusilla","Ericales","Primulaceae","Ardisia",TRUE,1
"Ardisia","Ardisia.sieboldii","Ericales","Primulaceae","Ardisia",TRUE,1
"Ardisia","Ardisia.quinquegona","Ericales","Primulaceae","Ardisia",TRUE,1
"Arenaria","Arenaria.pseudofrigida","Brassicales","Brassicaceae","Arenaria",TRUE,2
"Arenaria","Arenaria.pseudofrigida","Caryophyllales","Caryophyllaceae","Arenaria",TRUE,2
"Argusia","Argusia.argentea",NA,NA,NA,TRUE,1
"Argyranthemum","Argyranthemum.broussonetti","Asterales","Asteraceae","Argyranthemum",TRUE,1
"Argyranthemum","Argyranthemum.frutescens","Asterales","Asteraceae","Argyranthemum",TRUE,1
"Argyranthemum","Argyranthemum.frutescencs","Asterales","Asteraceae","Argyranthemum",TRUE,1
"Argyranthemum","Argyranthemum.teneriffae","Asterales","Asteraceae","Argyranthemum",TRUE,1
"Argythamnia","Argythamnia.candicans","Malpighiales","Euphorbiaceae","Argythamnia",TRUE,1
