"Family","Genus","sp.armonizado","DIT.final"
"Apidae","Eulaema","Eulaema nigrita",5.1
"Apidae","Frieseomelitta","Frieseomelitta silvestrii",1
"Apidae","Habropoda","Habropoda tarsata",4.49
"Halictidae","Halictus","Halictus asperulus",1.56
"Halictidae","Halictus","Halictus brunnescens",3.07
"Halictidae","Halictus","Halictus fulvipes",2.06
"Halictidae","Halictus","Halictus graecus",2.58
"Halictidae","Halictus","Halictus quadricinctus",2.85
"Halictidae","Halictus","Halictus resurgens",1.98
"Halictidae","Halictus","Halictus rubicundus",2.1
"Halictidae","Halictus","Halictus scabiosae",2.52
"Halictidae","Halictus","Halictus tetrazonius",1.94
"Megachilidae","Heriades","Heriades crenulata",1.51
"Megachilidae","Heriades","Heriades punctulifera",1
"Megachilidae","Heriades","Heriades truncorum",1.53
"Megachilidae","Hoplitis","Hoplitis bisulca",2.81
"Megachilidae","Hoplitis","Hoplitis curvipes",3.11
"Megachilidae","Hoplitis","Hoplitis fabrei",2.29
"Megachilidae","Hoplitis","Hoplitis manicata",3.02
"Megachilidae","Hoplitis","Hoplitis pallicornis",2.44
"Megachilidae","Hoplitis","Hoplitis papaveris",2.31
"Megachilidae","Hoplitis","Hoplitis perezi",2.43
"Megachilidae","Hoplitis","Hoplitis pici",2.34
"Megachilidae","Hoplitis","Hoplitis producta",1.56
"Megachilidae","Hoplitis","Hoplitis yermasoyiae",2.28
"Colletidae","Hylaeus","Hylaeus annularis",1.26
"Colletidae","Hylaeus","Hylaeus basalis",1.85
"Colletidae","Hylaeus","Hylaeus bifasciatus",1.75
"Colletidae","Hylaeus","Hylaeus brevicornis",0.98
"Colletidae","Hylaeus","Hylaeus canariensis",1.09
"Colletidae","Hylaeus","Hylaeus imparilis",1
"Colletidae","Hylaeus","Hylaeus lineolatus",1.1
"Colletidae","Hylaeus","Hylaeus meridionalis",1.51
"Colletidae","Hylaeus","Hylaeus nigritus",1.57
"Colletidae","Hylaeus","Hylaeus pictus",1.25
"Colletidae","Hylaeus","Hylaeus punctatus",1.23
