"Familia","Family.x","Family.y","genero","especie_genero","DIT.final.final"
"Colletidae","Colletidae",NA,"Colletes","Colletes cunicularius",3.33
NA,NA,NA,NA,"Colletes dimidiatus",3.84
NA,NA,NA,NA,"Colletes eous",2.63
"Colletidae","Colletidae",NA,"Colletes","Colletes fodiens",2.46
NA,NA,NA,NA,"Colletes foveolaris",2.59
"Colletidae",NA,NA,"Colletes","Colletes kincaidi",1.97
"Colletidae","Colletidae",NA,"Colletes","Colletes similis",2.41
"Colletidae","Colletidae",NA,"Colletes","Colletes succinctus",2.99
"Colletidae",NA,NA,"Colletes","Colletes succintus",3
"Melittidae","Melittidae",NA,"","Dasypoda cingulata",3.44
NA,NA,NA,NA,"Dasypoda iberica",2.9
"Colletidae",NA,NA,"Diphaglossa","Diphaglossa gayi",2.11
NA,NA,NA,NA,"Eoanthidium insulare",2.4
NA,NA,NA,NA,"Epeolus fallax",2.51
NA,NA,NA,NA,"Eucera albofasciata",2.91
NA,NA,NA,NA,"Eucera bidentata",2.19
"Apidae","Apidae",NA,"Eucera","Eucera clypeata",3.05
NA,NA,NA,NA,"Eucera furfurea",3.28
NA,NA,NA,NA,"Eucera gracilipes",3.84
"Apidae",NA,NA,"Eucera","Eucera nigrescens contraria",3.34
"Apidae",NA,NA,"Eucera","Eucera nigrilabris rufitarsis",3.65
NA,NA,NA,NA,"Eucera parnassia",2.88
NA,NA,NA,NA,"Eucera punctulata",3.28
"Apidae","Apidae",NA,"Eucera","Eucera seminuda",2.91
NA,NA,NA,NA,"Euglossa chalybeata",3.6
"Apidae",NA,"Apidae","Euglossa","Euglossa cordata",3.4
NA,NA,NA,NA,"Eulaema meriana",6.8
NA,NA,NA,NA,"Eulaema nigrita",5.1
NA,NA,NA,NA,"Frieseomelitta silvestrii",1
"Apidae","Apidae",NA,"Habropoda","Habropoda tarsata",4.49
NA,NA,NA,NA,"Halictus asperulus",1.56
NA,NA,NA,NA,"Halictus brunnescens",3.07
"Halictidae",NA,NA,"Halictus","Halictus confusus",1.41
"Halictidae","Halictidae",NA,"Halictus","Halictus fulvipes",2.06
NA,NA,NA,NA,"Halictus graecus",2.58
"Halictidae","Halictidae",NA,"Halictus","Halictus quadricinctus",2.85
NA,NA,NA,NA,"Halictus resurgens",1.98
"Halictidae","Halictidae",NA,"Halictus","Halictus rubicundus",2.1
"Halictidae","Halictidae",NA,"Halictus","Halictus scabiosae",2.52
"Halictidae",NA,NA,"Halictus","Halictus smaragdulus",1.11
"Halictidae",NA,NA,"Halictus","Halictus subauratus",1.68
NA,NA,NA,NA,"Halictus tetrazonius",1.94
"Megachilidae",NA,NA,"Heriades","Heriades crenulatus",1.53
"Megachilidae",NA,NA,"Heriades","Heriades trucorum",1.64
NA,NA,NA,NA,"Hoplitis curvipes",3.11
NA,NA,NA,NA,"Hoplitis fabrei",2.29
NA,NA,NA,NA,"Hoplitis manicata",3.02
NA,NA,NA,NA,"Hoplitis pallicornis",2.44
NA,NA,NA,NA,"Hoplitis pici",2.34
"Megachilidae",NA,NA,"Hoplitis","Hoplitis producta",1.56
"Colletidae","Colletidae",NA,"Hylaeus","Hylaeus annularis",1.26
"Colletidae",NA,NA,"Hylaeus","Hylaeus basalis",1.85
NA,NA,NA,NA,"Hylaeus bifasciatus",1.75
"Colletidae","Colletidae",NA,"Hylaeus","Hylaeus brevicornis",0.98
"Colletidae","Colletidae",NA,"Hylaeus","Hylaeus imparilis",1
NA,NA,NA,NA,"Hylaeus lineolatus",1.1
NA,NA,NA,NA,"Hylaeus meridionalis",1.51
"Colletidae","Colletidae",NA,"Hylaeus","Hylaeus nigritus",1.57
NA,NA,NA,NA,"Hylaeus pictus",1.25
"Colletidae","Colletidae",NA,"Hylaeus","Hylaeus punctatus",1.23
