"","esp","ID","Orden.GBIF","Familia.GBIF","Genero.GBIF","Genero.original","planta","interaccion","especie","Aceptado","sp.armonizado","genero.x","genero.y","orden","familia"
"43","Agapostemon texanus","M_062","Piperales","Aristolochiaceae","Aristolochia","Aristolochia","Aristolochia.tomentosa",1,"Agapostemon.texanus",NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"44","Agapostemon texanus","M_062",NA,NA,NA,"Ascerates","Ascerates.viridiflora",1,"Agapostemon.texanus",NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"45","Agapostemon texanus","M_062","Cornales","Cornaceae","Cornus","Cornus","Cornus.paniculata",1,"Agapostemon.texanus",NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"46","Agapostemon texanus","M_062","Apiales","Apiaceae","Cryptotaenia","Cryptotaenia","Cryptotaenia.canadensis",1,"Agapostemon.texanus",NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"47","Agapostemon texanus","M_062","Ranunculales","Ranunculaceae","Clematis","Clematis","Clematis.pitcheri",1,"Agapostemon.texanus",NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"48","Agapostemon texanus","M_062","Cucurbitales","Cucurbitaceae","Cucurbita","Cucurbita","Cucurbita.pepo",1,"Agapostemon.texanus",NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"49","Agapostemon texanus","M_062","Rosales","Rosaceae","Amelanchier","Amelanchier","Amelanchier.canadensis",1,"Agapostemon.texanus",NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"50","Agapostemon texanus","M_062","Celastrales","Celastraceae","Celastrus","Celastrus","Celastrus.scandens",1,"Agapostemon.texanus",NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"51","Agapostemon texanus","M_062","Solanales","Convolvulaceae","Convolvulus","Convolvulus","Convolvulus.sepium",1,"Agapostemon.texanus",NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
"52","Agapostemon texanus","M_062","Brassicales","Brassicaceae","Arabis","Arabis","Arabis.virginica",1,"Agapostemon.texanus",NA,"Agapostemon texanus","Agapostemon","Agapostemon","Hymenoptera","Halictidae"
